source_id,source_id_dr2,source_id_dr3,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_σ_RV_total [m/s],HZ Detection Limit [M_Earth],Semi-Amplitude_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_granulation [m/s],σ_p-mode [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,HD Number,GJ Number,HIP Number,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),Distance [pc],HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR2 2323302296085774464,2323302296085774464,,5.599573883845239,-27.03433896049684,8.30406811569214,8.041423797607422,8.533629417419434,7.434340476989746,1.099288940429688,45.95354398498431,5053.0,0.8,0.23383564,0.630971,0.6865292056431,232.26661743161,0.1041444817543035,0.8632105919550611,0.05065636788873019,0.4198697096086632,0.26674304099447,0.6464793178140886,0.3258834599574457,0.5483973076584584,3.184650588166016,,-4.51490612117,7.856983459273754,HIP_number_match,M,HD 1815,GJ 9011,1768,SB*,GAIA,K2Vk:,K2V,21.76110726795648,0,0,0,0,0.0
Gaia DR3 4468557611977674496,4468557611977674496,4468557611977674496,271.3659116090373,2.494198758092734,5.981946700305938,5.539218425750732,6.221124649047852,4.735469818115234,1.485654830932617,195.8563315317051,5023.42578125,0.77107507,0.268764,1.0307459,0.7375291704644953,263.4290919519129,0.102376470218016,0.8634636890391532,0.01707405413832392,0.144005998074907,0.08990086648768537,0.7211951711573364,0.3525515214191653,0.5390479206629624,0.704112110357798,,-4.65256418396,4.642409589257757,HD_number_match,K,HD 165341,GJ 702,,PM*,GAIA,K4V,K4V,5.105783367734121,0,0,0,0,0.0
Gaia DR3 4329057039841257728,4329057039841257728,4329057039841257728,246.0815447961856,-13.64257883838573,8.362866440844536,8.090543746948242,8.594181060791016,7.424449443817139,1.169731616973877,46.86868600625159,4725.684,0.7754519,0.22125018,0.66972464,0.6828573868943657,234.0242425571511,0.1063660922100084,0.8656685453928256,0.04991558733877677,0.4062418105825795,0.2628412397626021,0.6708393544483133,0.3099432382337688,0.5600934905450518,2.581463756822471,4.5661,-4.61135834826,5.43431916935875,HD_number_match,K,HD 147776,GJ 621,80366,BY*,GAIA,K2V,K2V,21.33620728916135,0,0,0,0,0.0
Gaia DR3 2322574488107786624,2322574488107786624,2322574488107786624,6.111376981422521,-27.02639926481456,7.894557420854569,7.629270553588867,8.12558364868164,6.967438697814941,1.158144950866699,55.82427515848546,4759.745,0.77834666,0.23749635,0.6903041,0.7058764924658458,245.4990456578644,0.1046017850044251,0.8671535046449865,0.04029726999642654,0.3340661816005173,0.2121883157125962,0.6899656655282623,0.3212145909328299,0.5507885914501969,2.366201403288587,4.557,-4.76224393723,3.052636299506089,HD_number_match,K,HD 2025,GJ 18.0,1936,PM*,GAIA,K3V,K3V,17.91335395150217,0,0,0,0,0.0
Gaia DR3 4879850208590379904,4879850208590379904,4879850208590379904,73.92557803274882,-28.56491862106159,8.108486263890267,7.771414756774902,8.34276294708252,7.054025173187256,1.288737773895264,54.91990365732818,4548.9517,0.7491206,0.22400543,0.7177162,0.6951055580911902,244.5364113965455,0.1085534613139885,0.8760944350718329,0.04393872787641465,0.3546130589545926,0.231363206856021,0.7121734672263897,0.3098306447738538,0.5715977257140104,2.026252168653316,4.5416,-4.6264989239,5.128753027348492,HD_number_match,K,HD 31560,GJ 2037,22907,PM*,GAIA,K3.5Vk:,K3.5V,18.2083349278885,0,0,0,0,0.0
Gaia DR3 3083867749248355456,3083867749248355456,3083867749248355456,119.4900692438513,-0.814376708826008,8.054514473519326,7.737601757049561,8.287890434265137,7.035340785980225,1.252549648284912,56.64121974787593,4453.0,0.7643374,0.22388743,0.7442147,0.6991925112001577,244.2282286242678,0.1073144354396819,0.8774150509823108,0.04305423460263988,0.3520163274782599,0.2267059931574514,0.705289334648416,0.3032559859906506,0.5650739327042306,1.854344319993111,,-5.06717780144,0.9516666485827933,HD_number_match,K,HD 65277,GJ 293.1,38931,PM*,GAIA,K4V,K4V,17.65498702978585,0,0,0,0,0.0
Gaia DR3 3719665845564967552,3719665841269118720,3719665845564967552,203.3827256117346,8.587179450969051,7.945087204875946,7.636477947235107,8.178075790405273,6.941089630126953,1.23698616027832,55.12394141142045,4631.4644,0.7785243,0.23605202,0.6684057,0.7097341501743402,247.4860535264409,0.1056550011837416,0.8783750519895018,0.04097134521881023,0.3406200093080894,0.2157367052340135,0.6971663902958628,0.3153132936256913,0.5563317905513017,2.607064274122453,4.5281,-4.56459992189,6.497766932840285,HD_number_match,K,HD 117936,GJ 2102,66147,PM*,GAIA,K3V,K3V,18.14093793722853,0,0,0,0,0.0
Gaia DR3 3089675232224086784,3089675232224086784,3089675232224086784,124.8286507202207,1.338625980015025,8.335840312995911,8.089553833007812,8.565933227539062,7.445285797119141,1.120647430419922,44.67565404325484,4797.819,0.86,0.24044394,0.68824357,0.7084294869953566,234.8221075094528,0.1010759638490468,0.8823714084384853,0.04945646217675714,0.4317442696115474,0.2604231453798144,0.625821466457451,0.3103050771868473,0.5322362188744643,2.637982822945073,4.5425,,,Not found,K,,,40774,BY*,,K1V,K1V,22.38355590791805,0,0,0,0,0.0
Gaia DR3 6229442835525861120,6229442835525861120,6229442835525861120,222.9139983862148,-24.30605070904718,7.790173266768456,7.489461421966553,8.022768020629883,6.801604747772217,1.221163272857666,59.63878921662309,4655.411,0.7715746,0.2413517,0.72295415,0.7165295477415488,252.1769907508409,0.1061546604453645,0.8827771315068187,0.03820387973724264,0.3177016555409012,0.201162245042034,0.709466941431818,0.3208509746737096,0.5589565762360862,2.041952602911969,4.5447,-4.85660438231,2.128319016007738,HD_number_match,K,HD 130992,GJ 565,72688,PM*,GAIA,K3.5V,K3.5V,16.76761069658454,0,0,0,0,0.0
Gaia DR2 5334356223546961536,5334356223546961536,,171.1635170139285,-61.64723394371202,7.526553168392182,7.06222677230835,7.765401363372803,6.292994976043701,1.472406387329102,82.52529293578145,4362.7754,0.7,0.22285843,0.82630706,0.7015311332611017,256.4865918722159,0.1127511562875889,0.8836890923801747,0.03370729691431462,0.264181509064298,0.1774836936474483,0.7762453019106371,0.3111616405708239,0.5936842616544438,1.240719619582627,,,,Not found,M,HD 99279,GJ 428,55691,PM*,,K5-V,K5V,12.11749712634365,0,0,0,0,0.0
