,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,SPTP,Rank_NEID,V,Teff (K),log g,Δ,t_exp (s),rv_rms_db,nobs_db,FOM,Tau [d],Nobs Run 0.5,Nobs Run 1,Nobs Run 2,RV RMS Run 0.5,RV RMS Run 1,RV RMS Run 2,Δγ Run 1–0.5,Δγ Run 1–2,nobs_NEID,rv_rms_NEID
0,HD19019,Gaia DR3 6963761190199424,HD19019,HIP14258,-,TIC365294034,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
1,HD20430,Gaia DR3 10584899657116672,HD20430,HIP15304,-,TIC445925825,-,-,F8,,,,,,,,,,,,,,,,,,,0,
2,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,K3V,,,,,,,,,,,,,,,,,,,0,
3,HD15095,Gaia DR3 24340923991956352,HD15095,-,-,TIC381002396,-,-,G0,,,,,,,,,,,,,,,,,,,0,
4,HD15942,Gaia DR3 26147868272907648,HD15942,HIP11941,-,TIC408819542,-,-,G0,,,,,,,,,,,,,,,,,,,0,
5,HD18144,Gaia DR3 34959010860789632,HD18144,HIP13601,-,TIC257918985,-,-,G8V,,,,,,,,,,,,,,,,,,,0,
6,HD25849,Gaia DR3 39026791568954112,HD25849,HIP19157,-,TIC311151363,-,-,-,,,,,,,,,,,,,,,,,,,0,
7,HD21962,Gaia DR3 42768532716776704,HD21962,HIP16538,-,TIC435290852,-,-,-,,,,,,,,,,,,,,,,,,,0,
8,HD24496A,Gaia DR3 43499295632961152,HD24496A,HIP18267,GJ3255,TIC242942985,-,-,G7V,34.0,6.81,5531.0,4.5,4.89,936.0,4.2,96.0,4.174,902.0,,32.0,50.0,1.19,1.19,3.15,,,82,2.707
9,HD24040,Gaia DR3 43802039287826432,HD24040,HIP17960,-,TIC456863621,-,-,G1,,,,,,,,,,,,,,,,,,,0,
10,HD27149,Gaia DR3 47620265212420096,HD27149,HIP20056,-,TIC17150156,-,-,-,,,,,,,,,,,,,,,,,,,0,
11,HD27406,Gaia DR3 48203487411427456,HD27406,HIP20237,-,TIC17232188,-,-,F9V,,,,,,,,,,,,,,,,,,,0,
12,39Tau,Gaia DR3 53112944270520832,HD25680,HIP19076,GJ160,TIC15736408,-, 39 Tau,G5V,,,,,,,,,,,,,,,,,,,0,
13,HD20477,Gaia DR3 56092345901034880,HD20477,HIP15381,-,TIC427020093,-,-,G0,,,,,,,,,,,,,,,,,,,0,
14,HD24206,Gaia DR3 64085383120724864,HD24206,HIP18097,-,TIC440702883,-,-,G7V,,,,,,,,,,,,,,,,,,,0,
15,HD23965,Gaia DR3 64115585330656000,HD23965,HIP17928,-,TIC440695415,-,-,F7,,,,,,,,,,,,,,,,,,,0,
16,HD24213,Gaia DR3 66892264508548864,HD24213,HIP18106,-,TIC385590511,-,-,G0,,,,,,,,,,,,,,,,,,,0,
17,HD22403,Gaia DR3 69443337640657536,HD22403,HIP16879,-,TIC46674348,-,-,G4,,,,,,,,,,,,,,,,,,,0,
18,HD15029,Gaia DR3 72806949867680640,HD15029,HIP11309,-,TIC58898300,-,-,F5,,,,,,,,,,,,,,,,,,,0,
19,29Ari,Gaia DR3 75349600571311744,HD15814,HIP11843,GJ3161,TIC408817657,-, 29 Ari,F8V,,,,,,,,,,,,,,,,,,,0,
20,HD17332A,Gaia DR3 84625634714435968,HD17332A,-,-,TIC247405885,-,-,-,,,,,,,,,,,,,,,,,,,0,
21,23Ari,Gaia DR3 87044422856456192,HD14305,HIP10810,-,TIC246942458,-, 23 Ari,F8,,,,,,,,,,,,,,,,,,,0,
22,2Ari,Gaia DR3 96331172942614528,HD10476,HIP7981,GJ68,TIC113710966,-,  2 Ari,K1V,16.0,5.24,5190.0,4.51,0.72,260.0,2.8,133.0,4.336,878.0,,26.0,44.0,,1.21,2.03,,,70,1.672
23,HD12413,Gaia DR3 97594065126285952,HD12413,HIP9492,-,TIC306216985,-,-,-,,,,,,,,,,,,,,,,,,,0,
24,HD13382,Gaia DR3 100254161710940928,HD13382,HIP10218,-,TIC306426710,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
25,HD13825,Gaia DR3 101309452355657216,HD13825,HIP10505,-,TIC118295030,-,-,G5IV,,,,,,,,,,,,,,,,,,,0,
26,30AriB,Gaia DR3 102082477749475200,HD16232,HIP12184,-,TIC22874788,-, 30 Ari B,F6V,,,,,,,,,,,,,,,,,,,0,
27,HD12846,Gaia DR3 104453918172129792,HD12846,HIP9829,-,TIC405376575,-,-,G2V,46.0,6.89,5700.0,4.48,2.08,1078.0,2.9,69.0,4.097,,,,,,,,,,0,
28,lamAriB,Gaia DR3 104717285566534016,HD11973B,-,-,TIC60986644,-,lam Ari B,-,,,,,,,,,,,,,,,,,,,0,
29,HD12661,Gaia DR3 105332908999068032,HD12661,HIP9683,-,TIC118268680,-,-,K0V,,,,,,,,,,,,,,,,,,,0,
30,HD14082A,Gaia DR3 107774202769886848,HD14082A,HIP10680,-,TIC118301925,-,-,-,,,,,,,,,,,,,,,,,,,0,
31,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,-,,,,,,,,,,,,,,,,,,,0,
32,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A,TIC397368422,-,-,K2,,,,,,,,,,,,,,,,,,,0,
33,51Ari,Gaia DR3 115311458058061440,HD18803,HIP14150,GJ120.2,TIC34691643,-, 51 Ari,G8V,68.0,6.62,5648.0,4.45,2.47,874.0,5.0,113.0,3.975,,,,,,,,,,0,
34,HD18143A,Gaia DR3 116037204451525376,HD18143A,HIP13642,GJ118.2A,TIC436933294,-,-,K2IV,,,,,,,,,,,,,,,,,,,0,
35,HD20367,Gaia DR3 122704230645584768,HD20367,HIP15323,-,TIC101349357,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
36,HD17674,Gaia DR3 129321160344480512,HD17674,HIP13291,-,TIC77490014,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
37,HD16397,Gaia DR3 132922438878995968,HD16397,HIP12306,GJ9089,TIC73626552,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
38,HD20209,Gaia DR3 138009810462247296,HD20209,HIP15205,-,TIC101261261,-,-,F5,,,,,,,,,,,,,,,,,,,0,
39,HD19308,Gaia DR3 138972467251590656,HD19308,HIP14532,-,TIC186807955,-,-,G0,,,,,,,,,,,,,,,,,,,0,
40,HD28483,Gaia DR3 144130516816579200,HD28483,HIP21008,-,TIC18372016,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
41,HD29150,Gaia DR3 144786577364287104,HD29150,HIP21436,-,TIC118553305,-,-,G5,,,,,,,,,,,,,,,,,,,0,
42,HD28676,Gaia DR3 144978858756826368,HD28676,HIP21158,-,TIC430314524,-,-,F5,,,,,,,,,,,,,,,,,,,0,
43,HD28033,Gaia DR3 145293181643038336,HD28033,HIP20712,-,TIC17418956,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
44,HD27808,Gaia DR3 145373377272257664,HD27808,HIP20557,-,TIC17339628,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
45,HD29419,Gaia DR3 146677879098433152,HD29419,HIP21637,-,TIC118678954,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
46,HD26710,Gaia DR3 150694566874541824,HD26710,-,-,TIC56628845,-,-,-,,,,,,,,,,,,,,,,,,,0,
47,HD25768,Gaia DR3 162480953568960256,HD25768,HIP19136,-,TIC348870795,-,-,-,,,,,,,,,,,,,,,,,,,0,
48,HD26161,Gaia DR3 169149766470219520,HD26161,HIP19428,-,TIC467753728,-,-,G0,,,,,,,,,,,,,,,,,,,0,
49,HD30708,Gaia DR3 174156255225869440,HD30708,HIP22576,-,TIC96211765,-,-,G5,57.0,6.78,5707.0,4.26,3.37,1212.0,3.98,16.0,4.021,,,,,,,,,,0,
50,HD29645,Gaia DR3 175618983647633920,HD29645,HIP21847,-,TIC156157340,-,-,F9IV,,,,,,,,,,,,,,,,,,,0,
51,HD28620,Gaia DR3 178112641659509760,HD28620,HIP21167,-,TIC155401087,-,-,F5,,,,,,,,,,,,,,,,,,,0,
52,HD35681,Gaia DR3 182461725546788480,HD35681,HIP25580,-,TIC2944024,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
53,HD33632,Gaia DR3 187247281185703296,HD33632,HIP24332,-,TIC187679739,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
54,15Aur,Gaia DR3 188771135583573504,HD34411,HIP24813,GJ197,TIC409104974,-, 15 Aur,G1.5IV,14.0,4.7,5873.0,4.26,1.88,492.0,2.7,83.0,4.378,917.0,,29.0,58.0,,1.08,1.13,,1.66,87,1.05
55,HD36929A,Gaia DR3 194405990937384064,HD36929A,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
56,HD31500,Gaia DR3 199279271288398720,HD31500A,HIP23100,-,TIC121298627,-,-,-,,,,,,,,,,,,,,,,,,,0,
57,HD29587,Gaia DR3 204358907633155840,HD29587,HIP21832,-,TIC391095065,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
58,HD37008,Gaia DR3 215395053733297024,HD37008,HIP26505,GJ3358,TIC310872966,-,-,K1V,74.0,7.74,4979.0,4.53,2.11,1820.0,2.58,45.0,3.949,,,,,,,,,,0,
59,HD38007,Gaia DR3 215521394490842624,HD38007,HIP27165,-,TIC311386419,-,-,-,,,,,,,,,,,,,,,,,,,0,
60,HD37693,Gaia DR3 215599288018509824,HD37693,HIP26974,-,TIC311223680,-,-,G0,,,,,,,,,,,,,,,,,,,0,
61,HD22692A,Gaia DR3 218231518853187712,HD22692A,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
62,HD22692B,Gaia DR3 218231518853187840,HD22692B,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
63,HD21847,Gaia DR3 221991882981235072,HD21847,HIP16517,-,TIC90665203,-,-,F8,,,,,,,,,,,,,,,,,,,0,
64,HD23596,Gaia DR3 224870885460646016,HD23596,HIP17747,-,TIC201266092,-,-,F8,,,,,,,,,,,,,,,,,,,0,
65,50Per,Gaia DR3 225668203191521280,HD25998,HIP19335,GJ161.1,TIC353257675,-, 50 Per,F8V,,,,,,,,,,,,,,,,,,,0,
66,HD25893A,Gaia DR3 225709641034907264,HD25893A,-,GJ160.1A,TIC664915372,-,-,-,,,,,,,,,,,,,,,,,,,0,
67,HD25444A,Gaia DR3 226778843075710976,HD25444A,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
68,HD27495,Gaia DR3 227589290522957440,HD27495,HIP20395,-,TIC288415285,-,-,F8,,,,,,,,,,,,,,,,,,,0,
69,HD20427,Gaia DR3 235526768040172672,HD20427,-,-,TIC178103825,-,-,-,,,,,,,,,,,,,,,,,,,0,
70,HD22521,Gaia DR3 237507744398899200,HD22521,HIP17022,-,TIC65577318,-,-,G0,,,,,,,,,,,,,,,,,,,0,
71,HD19769,Gaia DR3 240817446194974848,HD19769,HIP14922,-,TIC192693816,-,-,G0,,,,,,,,,,,,,,,,,,,0,
72,HD23050,Gaia DR3 243285849800883456,HD23050,HIP17409,-,TIC431871650,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
73,HD23140,Gaia DR3 244808226728958848,HD23140,HIP17491,GJ150.2,TIC431898298,-,-,K0V,,,,,,,,,,,,,,,,,,,0,
74,HD24421,Gaia DR3 251738448519542144,HD24421,HIP18366,-,TIC403085679,-,-,-,,,,,,,,,,,,,,,,,,,0,
75,HD30649,Gaia DR3 254503754623418240,HD30649,HIP22596,GJ9168,TIC21240825,-,-,F9V,,,,,,,,,,,,,,,,,,,0,
76,HD28005,Gaia DR3 257134507991047936,HD28005,HIP20800,-,TIC27936849,-,-,G0,98.0,6.72,5747.0,4.24,2.65,1234.0,4.98,57.0,3.864,,,,,,,,,,0,
77,HD33580,Gaia DR3 262575540063728384,HD33580,HIP24397,-,TIC446109560,-,-,-,,,,,,,,,,,,,,,,,,,0,
78,HD37394,Gaia DR3 263916708025623680,HD37394,HIP26779,GJ211,TIC311063391,-,-,K0V,99.0,6.21,5249.0,4.5,5.27,498.0,14.66,13.0,3.864,,,,,,,,,,0,
79,18Cam,Gaia DR3 269413338450710016,HD36066,HIP25973,-,TIC321436233,-, 18 Cam,F8V,,,,,,,,,,,,,,,,,,,0,
80,HD34575,Gaia DR3 281179246740400384,HD34575,HIP25094,-,TIC320790248,-,-,K0,75.0,7.09,5551.0,4.25,2.34,1336.0,3.63,23.0,3.944,,,,,,,,,,0,
81,HD8274,Gaia DR3 289697747434140544,HD8274,-,-,TIC411630403,-,-,-,,,,,,,,,,,,,,,,,,,0,
82,HD9091,Gaia DR3 290368930563348480,HD9091,HIP6975,-,TIC381319184,-,-,F8,,,,,,,,,,,,,,,,,,,0,
83,HD9472,Gaia DR3 291701396922348672,HD9472,HIP7244,-,TIC18251910,-,-,G0,,,,,,,,,,,,,,,,,,,0,
84,HD8574,Gaia DR3 297045096447719040,HD8574,HIP6643,-,TIC18121498,-,-,F8,,,,,,,,,,,,,,,,,,,0,
85,HD9224,Gaia DR3 297159754894750848,HD9224,HIP7090,-,TIC18224448,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
86,HD12051,Gaia DR3 304991163902854784,HD12051,HIP9269,GJ82.1,TIC284013790,-,-,G9V,65.0,7.14,5412.0,4.38,0.97,1206.0,2.32,232.0,3.986,,,,,,,,,,0,
87,HD11007,Gaia DR3 305334280250112896,HD11007,HIP8433,GJ3115,TIC20931913,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
88,HD7228,Gaia DR3 314005922300046848,HD7228,HIP5682,-,TIC431365980,-,-,F5,,,,,,,,,,,,,,,,,,,0,
89,HD5750,Gaia DR3 314424045956125440,HD5750,-,-,TIC301941897,-,-,-,,,,,,,,,,,,,,,,,,,0,
90,HD8909,Gaia DR3 315328531708809856,HD8909,HIP6862,-,TIC44629425,-,-,-,,,,,,,,,,,,,,,,,,,0,
91,HD8745,Gaia DR3 322414398818886656,HD8745,HIP6752,-,TIC189358516,-,-,F8,,,,,,,,,,,,,,,,,,,0,
92,HD14348,Gaia DR3 324445853925182720,HD14348,HIP10868,-,TIC285175395,-,-,F5,,,,,,,,,,,,,,,,,,,0,
93,delTri,Gaia DR3 326173044957518080,HD13974,HIP10644,GJ92,TIC63782132,-,  8 Tri,-,,,,,,,,,,,,,,,,,,,0,
94,HD13531,Gaia DR3 333053037107550080,HD13531A,HIP10339,-,TIC184737443,-,-,-,,,,,,,,,,,,,,,,,,,0,
95,HD13507,Gaia DR3 333106054183616000,HD13507,HIP10321,-,TIC184735829,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
96,HD17922,Gaia DR3 336538454607430016,HD17922,HIP13528,-,TIC259386353,-,-,-,,,,,,,,,,,,,,,,,,,0,
97,HD16175,Gaia DR3 340028235795364864,HD16175,HIP12191,-,TIC422922274,-,-,G2,,,,,,,,,,,,,,,,,,,0,
98,HD15830,Gaia DR3 340305381444650880,HD15830,HIP11949,-,TIC288497990,-,-,G0,,,,,,,,,,,,,,,,,,,0,
99,HD11907,Gaia DR3 345679278885384320,HD11907,HIP9151,-,TIC67517270,-,-,-,,,,,,,,,,,,,,,,,,,0,
100,HD11926,Gaia DR3 345765551891443968,HD11926,HIP9172,-,TIC67517644,-,-,-,,,,,,,,,,,,,,,,,,,0,
101,50And,Gaia DR3 348020482735930112,HD9826,HIP7513,GJ61,TIC189576919,-, 50 And,F9V,,,,,,,,,,,,,,,,,,,0,
102,HD10307,Gaia DR3 348515297330773120,HD10307,HIP7918,GJ67,TIC327507922,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
103,HD10086,Gaia DR3 350664155368182656,HD10086,HIP7734,GJ65.1,TIC327349605,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
104,HD13931,Gaia DR3 351537889154226816,HD13931,HIP10626,-,TIC292851928,-,-,G0,,,,,,,,,,,,,,,,,,,0,
105,HD4903,Gaia DR3 361079760296360064,HD4903,HIP4005,-,TIC53701382,-,-,F8,,,,,,,,,,,,,,,,,,,0,
106,HD3765,Gaia DR3 369092520004831232,HD3765,HIP3206,GJ28,TIC424009747,-,-,K2V,,,,,,,,,,,,,,,,,,,0,
107,HD4322,Gaia DR3 369194534069560320,HD4322,HIP3597,-,TIC115850723,-,-,F7IV,,,,,,,,,,,,,,,,,,,0,
108,HD6611,Gaia DR3 371518695489690496,HD6611A,HIP5276,-,TIC407339750,-,-,-,,,,,,,,,,,,,,,,,,,0,
109,HD6963,Gaia DR3 373208954099200768,HD6963,HIP5521,-,TIC196692982,-,-,G7V,,,,,,,,,,,,,,,,,,,0,
110,HD7590,Gaia DR3 373349657227961472,HD7590,HIP5944,-,TIC196841006,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
111,HD5065,Gaia DR3 374163192752986240,HD5065,HIP4127,-,TIC283546449,-,-,G0,,,,,,,,,,,,,,,,,,,0,
112,HD5129,Gaia DR3 375707319395404928,HD5129,HIP4205,-,TIC196234276,-,-,-,,,,,,,,,,,,,,,,,,,0,
113,HD1562,Gaia DR3 379582273249916416,HD1562,HIP1598,-,TIC194531699,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
114,HD3454,Gaia DR3 390077936372822912,HD3454,HIP2981,-,TIC191288300,-,-,-,,,,,,,,,,,,,,,,,,,0,
115,HD3079,Gaia DR3 390900439790625664,HD3079,HIP2712,GJ9016,TIC240644651,-,-,F8,,,,,,,,,,,,,,,,,,,0,
116,HD2057,Gaia DR3 392562179817077120,HD2057,HIP1987,-,TIC202438769,-,-,-,,,,,,,,,,,,,,,,,,,0,
117,HD8907,Gaia DR3 396341196983414272,HD8907,HIP6878,-,TIC191770861,-,-,F8,,,,,,,,,,,,,,,,,,,0,
118,HD10211,Gaia DR3 405434609118418560,HD10211,HIP7855,-,TIC309130111,-,-,F8,,,,,,,,,,,,,,,,,,,0,
119,HD10556,Gaia DR3 409293585696641920,HD10556,HIP8109,-,TIC71852020,-,-,F8,,,,,,,,,,,,,,,,,,,0,
120,HD8054,Gaia DR3 409909484005053440,HD8054,HIP6306,-,TIC241018215,-,-,F5,,,,,,,,,,,,,,,,,,,0,
121,HD8004,Gaia DR3 410846061755266816,HD8004,HIP6285,-,TIC332575186,-,-,G0,,,,,,,,,,,,,,,,,,,0,
122,mu.Cas,Gaia DR3 411413822074322432,HD6582,HIP5336,GJ53,TIC252191219,-,mu. Cas,G5V,,,,,,,,,,,,,,,,,,,0,
123,HD7284,Gaia DR3 414103708555300480,HD7284,HIP5784,-,TIC331782093,-,-,F5,,,,,,,,,,,,,,,,,,,0,
124,HD3149,Gaia DR3 415735624324946816,HD3149,HIP2760,-,TIC240649313,-,-,F8,,,,,,,,,,,,,,,,,,,0,
125,HD5372,Gaia DR3 416736832741633792,HD5372,HIP4393,-,TIC306956595,-,-,G5,,,,,,,,,,,,,,,,,,,0,
126,HD123B,Gaia DR3 423075173674854528,HD123B,HIP518B,GJ4.1B,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
127,HD123A,Gaia DR3 423075173680043904,HD123A,HIP518A,GJ4.1A,TIC604446831,-,-,-,,,,,,,,,,,,,,,,,,,0,
128,etaCasB,Gaia DR3 425040000962497792,HD4614B,-,GJ34B,TIC445258198,-,eta Cas B,K7V,,,,,,,,,,,,,,,,,,,0,
129,etaCasA,Gaia DR3 425040000962559616,HD4614A,HIP3821,GJ34A,TIC445258206,-,eta Cas A,F9V,2.0,3.46,5919.0,4.37,5.35,383.0,2.8,45.0,4.666,1070.0,1.0,30.0,58.0,,1.16,1.19,,,89,1.127
130,HD5015,Gaia DR3 427322415301550208,HD5015,HIP4151,GJ41,TIC285544488,-,-,F9V,,,,,,,,,,,,,,,,,,,0,
131,HD1697,Gaia DR3 428949864311548416,HD1697,-,-,TIC428417801,-,-,-,,,,,,,,,,,,,,,,,,,0,
132,HD224792,Gaia DR3 429915991435184000,HD224792,HIP58,-,TIC417860263,-,-,-,,,,,,,,,,,,,,,,,,,0,
133,HD18768,Gaia DR3 434311667115069952,HD18768,HIP14181,-,TIC418085793,-,-,F8,,,,,,,,,,,,,,,,,,,0,
134,iotPer,Gaia DR3 436648129327098496,HD19373,HIP14632,GJ124,TIC116988032,-,iot Per,G0V,25.0,4.05,5938.0,4.18,2.14,595.0,3.3,85.0,4.258,904.0,,36.0,49.0,,1.72,1.73,,0.77,85,1.589
135,13Per,Gaia DR3 438829629114680704,HD16895,HIP12777,GJ107A,TIC302158903,-, 13 Per,F8V,,,,,,,,,,,,,,,,,,,0,
136,HD21045,Gaia DR3 442683108132783872,HD21045,-,-,TIC252863846,-,-,-,,,,,,,,,,,,,,,,,,,0,
137,HD13403,Gaia DR3 458598367152568448,HD13403,HIP10322,-,TIC347583453,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
138,HD19256,Gaia DR3 460050169170768128,HD19256,HIP14592,-,TIC251808762,-,-,G0IV,,,,,,,,,,,,,,,,,,,0,
139,HD18757,Gaia DR3 466294295706341760,HD18757,HIP14286,GJ3194,TIC286636275,-,-,G1.5V,,,,,,,,,,,,,,,,,,,0,
140,HD17591,Gaia DR3 467468196170006144,HD17591,HIP13394,-,TIC390410291,-,-,G0,,,,,,,,,,,,,,,,,,,0,
141,HD24409,Gaia DR3 473347456640406016,HD24409,HIP18413,GJ3257,TIC72290819,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
142,HD31865,Gaia DR3 478240661338191360,HD31865,HIP23532,-,TIC416236614,-,-,G4V,,,,,,,,,,,,,,,,,,,0,
143,HD34654,Gaia DR3 479668033588960768,HD34654,HIP25222,-,TIC416306574,-,-,-,,,,,,,,,,,,,,,,,,,0,
144,HD31675,Gaia DR3 482846859145086208,HD31675,HIP23484,-,TIC468418392,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
145,HD22399,Gaia DR3 488099359330834432,HD22399,HIP17118,-,TIC392311734,-,-,-,,,,,,,,,,,,,,,,,,,0,
146,HD25665,Gaia DR3 493935296471302784,HD25665,HIP19422,GJ161,TIC102718782,-,-,K2.5V,,,,,,,,,,,,,,,,,,,0,
147,HD37393,Gaia DR3 499849844393678336,HD37393,HIP27246,-,TIC313194754,-,-,G0,,,,,,,,,,,,,,,,,,,0,
148,HD10757,Gaia DR3 506485809392070016,HD10757,HIP8288,-,TIC403438102,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
149,HD12482,Gaia DR3 507960391923112704,HD12482,HIP9659,-,TIC12106915,-,-,F6IV,,,,,,,,,,,,,,,,,,,0,
150,HD12569,Gaia DR3 507966473596728960,HD12569,HIP9726,-,TIC374124077,-,-,F7IV,,,,,,,,,,,,,,,,,,,0,
151,HD10780,Gaia DR3 512167948043650816,HD10780,HIP8362,GJ75,TIC373694425,-,-,K0V,9.0,5.63,5344.0,4.54,3.34,380.0,3.43,15.0,4.479,1002.0,,32.0,59.0,,1.12,1.26,0.25,-0.18,91,1.224
152,HD13829,Gaia DR3 515529086371772032,HD13829,HIP10681,-,TIC374218538,-,-,F8,,,,,,,,,,,,,,,,,,,0,
153,HD10195,Gaia DR3 520153632273949312,HD10195,HIP7949,-,TIC279205147,-,-,F5,,,,,,,,,,,,,,,,,,,0,
154,HD13579,Gaia DR3 520377795206114688,HD13579,HIP10531,GJ90,TIC379603165,-,-,K2,,,,,,,,,,,,,,,,,,,0,
155,54Cas,Gaia DR3 522135261462534528,HD12800,HIP10031,-,TIC357744191,-, 54 Cas,F8,,,,,,,,,,,,,,,,,,,0,
156,HD4243,Gaia DR3 526172393287330304,HD4243,HIP3587,-,TIC368404959,-,-,-,,,,,,,,,,,,,,,,,,,0,
157,HD3801,Gaia DR3 527630414422930944,HD3801,HIP3267,-,TIC284811120,-,-,F8,,,,,,,,,,,,,,,,,,,0,
158,HD4132,Gaia DR3 529221888785710208,HD4132,HIP3509,-,TIC258678247,-,-,-,,,,,,,,,,,,,,,,,,,0,
159,HD2663,Gaia DR3 530133899320549888,HD2663,HIP2453,-,TIC407315823,-,-,F8,,,,,,,,,,,,,,,,,,,0,
160,HD9407,Gaia DR3 532057254394731776,HD9407,HIP7339,GJ59.1,TIC398018469,-,-,G6.5V,38.0,6.52,5672.0,4.45,0.72,826.0,1.9,206.0,4.146,1247.0,2.0,39.0,61.0,1.16,1.16,1.1,0.71,1.01,102,1.086
161,38Cas,Gaia DR3 532462149551387776,HD9021,HIP7078,-,TIC353168694,-, 38 Cas,-,,,,,,,,,,,,,,,,,,,0,
162,HD5996,Gaia DR3 532870034006715264,HD5996,HIP4907,-,TIC379166346,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
163,HD75302,Gaia DR3 581100382135253760,HD75302,HIP43297,-,TIC262587669,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
164,HD74156,Gaia DR3 582221750852254080,HD74156,HIP42723,-,TIC379949822,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
165,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,eps Hya C,-,,,,,,,,,,,,,,,,,,,0,
166,HD81212B,Gaia DR3 585739741384499072,HD81212B,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
167,HD81670A,Gaia DR3 586050112901137920,HD81670A,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
168,HD80654,Gaia DR3 594232609715397120,HD80654,HIP45879,-,TIC55315634,-,-,-,,,,,,,,,,,,,,,,,,,0,
169,HD73668A,Gaia DR3 594641009565720192,HD73668A,HIP42488,-,TIC393124350,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
170,HD72945,Gaia DR3 594989348593414016,HD72945,HIP42172,GJ310.1A,TIC468986279,-,-,-,,,,,,,,,,,,,,,,,,,0,
171,HD72946,Gaia DR3 594989417312890368,HD72946,HIP42173,GJ310.1B,TIC468986285,-,-,G8V,,,,,,,,,,,,,,,,,,,0,
172,HD75767,Gaia DR3 596878550087942528,HD75767,HIP43557,-,TIC459056725,-,-,G1.5V,,,,,,,,,,,,,,,,,,,0,
173,HD72780,Gaia DR3 601647853572646272,HD72780,HIP42112,-,TIC468983199,-,-,F8,,,,,,,,,,,,,,,,,,,0,
174,HD73667,Gaia DR3 602079652404802688,HD73667,HIP42499,GJ315,TIC443965212,-,-,K2V,,,,,,,,,,,,,,,,,,,0,
175,HD85091,Gaia DR3 613075249718020736,HD85091,HIP48215,-,TIC377041106,-,-,-,,,,,,,,,,,,,,,,,,,0,
176,HD83683,Gaia DR3 614534817044398848,HD83683,HIP47468,-,TIC341500777,-,-,F8,,,,,,,,,,,,,,,,,,,0,
177,HD86133,Gaia DR3 627699888238838272,HD86133,HIP48785,-,TIC239205079,-,-,G0,,,,,,,,,,,,,,,,,,,0,
178,83Cnc,Gaia DR3 632104703618657792,HD80218,HIP45699,-,TIC55276121,-, 83 Cnc,-,,,,,,,,,,,,,,,,,,,0,
179,HD82443,Gaia DR3 646255212109355136,HD82443,HIP46843,GJ354.1,TIC172533278,-,-,G9V,,,,,,,,,,,,,,,,,,,0,
180,HD66348,Gaia DR3 653027276027556224,HD66348,HIP39418,-,TIC358089005,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
181,HD67789,Gaia DR3 653820298787662464,HD67789,HIP39999,-,TIC27510756,-,-,F5,,,,,,,,,,,,,,,,,,,0,
182,HD66922,Gaia DR3 654871397543215872,HD66922,HIP39650,-,TIC60227635,-,-,F5,,,,,,,,,,,,,,,,,,,0,
183,HD70843,Gaia DR3 656046844193198848,HD70843,HIP41226,-,TIC6953932,-,-,F5,,,,,,,,,,,,,,,,,,,0,
184,HD68168,Gaia DR3 656546537868692480,HD68168,HIP40133,-,TIC27549653,-,-,G0,,,,,,,,,,,,,,,,,,,0,
